conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1385864404881711104,Sat Apr 24 07:53:16 +0000 2021,62055,Depresi itu bukan sekadar merasa sedih dan murung https://t.co/6fsGlgIWrV,1385864404881711104,https://pbs.twimg.com/media/EzuUVCXUcAAyUSO.jpg,,in,Bogor,1987,724,20864,https://x.com/jiemiardian/status/1385864404881711104,68714545,jiemiardian
1861332858377510916,Tue Nov 26 08:55:09 +0000 2024,5275,Lagi melakukan adegan dewasa: Ketika ada yang bikin sedih dan berduka gak pake ribet-ribet nolak kenyataan marah-marah sama keadaan cari-cari kemungkinan lain atau jatuh depresi. Langsung terima fakta dan lanjutin hidup. https://t.co/QB0b45zhI0,1861332858377510916,https://pbs.twimg.com/media/GdTIXZcbsAA-vMA.jpg,,in,,70,16,1475,https://x.com/jaelussyahadat/status/1861332858377510916,78076491,jaelussyahadat
1861242009316663814,Tue Nov 26 02:54:09 +0000 2024,2339,Seringai baru merilis Pulang . tersedia di platform-platform streaming umum. menulis lirik tentang depresi lebih tepatnya 'smile depression': kadang dibalik senyum yang ramah tawa yang lepas hati yang baik tersimpan duka yang dalam. be nice to people. kamu tidak sendiri. https://t.co/5whLk5hJbG,1861242009316663814,https://pbs.twimg.com/media/GdR1vAlbkAA1-t9.jpg,,in,"jakarta, indonesia",95,119,1168,https://x.com/aparatmati/status/1861242009316663814,40043449,aparatmati
1845616211008348178,Mon Oct 14 00:02:49 +0000 2024,5865,Tahajud adalah obat ajaib untuk depresi kecemasan dan berbagai masalah. Sangat privasi hanya antara dirimu Tuhan dan airmatamu.,1845616211008348178,,,in,,13,125,1104,https://x.com/untitled246/status/1845616211008348178,1427853294332911618,untitled246
1064451731772203008,Mon Nov 19 09:34:04 +0000 2018,5714,Pernah terpikirkan ngga untuk UNINSTALL INSTAGRAM? Jika temen2 waktu itu hadir di sharing session #wwim2018indonesia pasti sudah dengar cerita ini gw uninstall instagram karena bosen stress bahkan sampai depresi. Ini beneran.. Gw coba share disini ya! https://t.co/cKz7P606LC,1064451731772203008,https://pbs.twimg.com/media/DsWxM3ZU8AAMAE5.jpg,,in,"Bandung, Indonesia",466,338,4170,https://x.com/Madariyanhadi/status/1064451731772203008,69218314,Madariyanhadi
1543588193500483584,Sun Jul 03 13:31:18 +0000 2022,41220,Nonton film dokumenter 'Diana: In Her Own Words' ini bikin sakit hati sekaligus dada sesak. Disini kita dengerin pengakuan langsung dari Putri Diana lewat rekaman suara betapa dirinya tak bahagia selama bersama Pangeran Charles. Dia merasa tertekan &amp; kesepian yg berujung depresi. https://t.co/rVtLD35PWJ,1543588193500483584,https://pbs.twimg.com/media/FWvtRYLVEAEdETz.jpg,,in,Indonesia,1025,356,7949,https://x.com/TarizSolis/status/1543588193500483584,43539771,TarizSolis
1355812354282295296,Sun Jan 31 09:37:09 +0000 2021,38402,CARA MENENANGKAN ORANG YANG MENGALAMI LUKA KECEWA DAN PATAH HATI YANG MENDALAM HINGGA BERUJUNG DEPRESI. ---- A THREAD ---- https://t.co/ckAzgXEvWy,1355812354282295296,https://pbs.twimg.com/media/EtDQJdEVoAAsvA1.jpg,,in,Jakarta-Jogja,389,384,8782,https://x.com/itsufika/status/1355812354282295296,1138452453651877891,itsufika
1757360150178935239,Tue Feb 13 11:04:44 +0000 2024,12907,Tau ngga sih kalau kurang vitamin D berhubungan dengan depresi sering sakit meningkatnya risiko penyakit autoimun dan alergi? Faktanya 90% orang di Indonesia kekurangan vitamin D.,1757360150178935239,,,in,,531,238,3686,https://x.com/mestyariotedjo/status/1757360150178935239,244565758,mestyariotedjo
1652512681654620160,Sun Apr 30 03:18:20 +0000 2023,11144,1.Terdiagnosa PTSD&amp;depresi dr umur 13 tahun 2.survivor tindakan pemerkosaan 3.sakit hipertiroid yg bikin beberapa kali patah tulang&amp;lumpuh 4.opname RSJ 31 hari 5.ortu cerai 6.koma 4 kali krn jantung 7.Self harm&amp;percobaan bundir entah berapa kali https://t.co/JNMdEnhw0z,1652512681654620160,https://pbs.twimg.com/media/Fu7lU41aUAEx95-.jpg,,in,,224,539,1161,https://x.com/ChocciH/status/1652512681654620160,1296070857966538753,ChocciH
1836745969855328512,Thu Sep 19 12:35:38 +0000 2024,51059,Ok ini gue halu atau ga ngerti ceritanya ya skrng orang belain nikita mirzani??? THE Nikita Mirzani yg ngurung anaknya + cuma dikasih aer??? Trs skrng anak ini dihina2 grgr dia depresi + kena manipulasi pacarnya??? Pdhl jelas2 butuh ruang aman??? Lo semua GILA sih menurut gue,1836745969855328512,,,in,Indonesia,720,902,8172,https://x.com/emaiera/status/1836745969855328512,771330374,emaiera
1860567214581252573,Sun Nov 24 06:12:46 +0000 2024,2,obat depresi dan sedih berkelanjutan https://t.co/YdoTkHXdtb,1860567214581252573,https://pbs.twimg.com/media/GdIP-JYagAAdjBn.jpg,,in,554,0,1,0,https://x.com/side0frusa/status/1860567214581252573,924237787666161664,side0frusa
1149999353685299200,Sat Jul 13 11:09:46 +0000 2019,26111,2011 ke Jerman buat kuliah. 2019 lulus sidang skripsi. Ditengahnya ada kerja serabutan gak punya uang depresi cemas dipulangin ibu sakit kanker. Yang orang komentarin hanya: Buset lama banget kuliahnya?? . Kamu gak pernah tahu apa yang dihadapin orang. Be good. Always.,1149999353685299200,,,in,Germany,461,348,24457,https://x.com/vinaulia/status/1149999353685299200,60867367,vinaulia
1858336698264146014,Mon Nov 18 02:29:29 +0000 2024,5792,Gejala umum depresi tuh bisa keliatan bgt kaya sadness or hopelessness. Tapi ada beberapa tandanya yg less obvious Minjar rasa kita perlu aware sama ini juga - Makan terlalu banyak atau terlalu dikit - Habit tidur yg berubah (susah tidur/tidur kelamaan) - Negative self-talk,1858336698264146014,,,in,,154,20,1288,https://x.com/belajarlagiHQ/status/1858336698264146014,1428049339981520904,belajarlagiHQ
1397524408672014338,Wed May 26 12:05:58 +0000 2021,531,KUCING KUCING NORMAL DEPRESI https://t.co/n4Y9DXe5C6,1397524408672014338,https://pbs.twimg.com/media/E2UBCdOUUAAMytE.jpg,,in,Malam Temaram,20,22,87,https://x.com/alpokatmentega/status/1397524408672014338,1260154879634337795,alpokatmentega
1859394604971458894,Thu Nov 21 00:33:14 +0000 2024,57,Di 2020 sebulan setelah didiagnosis depresi mayor saya cuman kuat jalan kaki 10 menit 2021-2022 renang 1 menit saja sudah gak kuat (heartrate udah extreme) Barusan saya akhirnya diberi nikmat bisa renang hampir 50 menit non stop. Seemed impossible. Until it's not. https://t.co/mggyhVdQJa,1859394604971458894,https://pbs.twimg.com/media/Gc3lia3aAAAMmTe.jpg,,in,,1,2,5,https://x.com/inspirousyan/status/1859394604971458894,1192824458488242178,inspirousyan
1858197423153389708,Sun Nov 17 17:16:03 +0000 2024,18,lakilaki tidak bercerita depresi pada lakilaki itu tidak ada menuju ketiadaan adalah niscaya,1858197423153389708,,,in,"Dongo, Lombardia",0,0,6,https://x.com/_devalo/status/1858197423153389708,74095785,_devalo
